"Data Source","World Development Indicators",
"Suriname","SUR","CO2 emissions (kt)","EN.ATM.CO2E.KT","432.706","429.039","495.045","531.715","605.055","795.739","1096.433","1334.788","1452.132","1521.805","1609.813","1716.156","1745.492","2108.525","1602.479","2020.517","1998.515","1899.506","2394.551","2295.542","2372.549","2031.518","1873.837","1375.125","1554.808","1598.812","1760.16","1760.16","1877.504","1855.502","1740","2020","2030","2040","2040","2060","2080","2100","2100","2120","1480","1520","1120","1230","1390","1690","1530","1410","1460","1450","1740","1950","2440","2290","2640","2750","2310","2130","2080","","",
"Slovak Republic","SVK","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54810","47940","46100","44320","41700","42370","42170","42270","41400","40660","38070","38580","38080","38340","37440","38520","37880","37220","37050","33840","35450","34130","32370","32940","30450","30750","31500","33580","33000","","",
"Slovenia","SVN","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13530","12740","12830","13560","13610","14470","15290","15730","15500","14910","14540","15380","15520","15420","15710","15930","16310","16300","17390","15530","15810","15730","15170","14600","13170","13170","13930","14140","14050","","",
"Sweden","SWE","CO2 emissions (kt)","EN.ATM.CO2E.KT","49222.141","48851.774","51326.999","55371.7","60432.16","62628.693","72591.932","69001.939","77685.395","86467.86","92379.064","84590.356","84781.04","87366.275","79889.262","80824.347","88308.694","85804.133","79533.563","84927.72","71759.523","69430.978","62291.329","58297.966","57333.545","62394.005","62038.306","59717.095","57443.555","55533.048","53350","54240","56750","56510","58490","58230","63650","57380","58360","57270","53280","52500","54020","55200","53590","50210","48900","47140","46150","42880","48130","44590","42150","40550","39100","39200","38790","38330","36000","","",
"Eswatini","SWZ","CO2 emissions (kt)","EN.ATM.CO2E.KT","33.003","3.667","","","11.001","80.674","201.685","227.354","278.692","304.361","366.7","399.703","381.368","370.367","311.695","337.364","333.697","341.031","440.04","447.374","465.709","436.373","436.373","271.358","333.697","440.04","458.375","436.373","436.373","436.373","950","940","830","730","1040","1000","780","1110","1140","1220","1130","1080","1070","1000","990","1010","1010","1040","1020","1070","1010","1020","1060","1550","960","1030","1230","1040","1090","","",
"Sint Maarten (Dutch part)","SXM","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Seychelles","SYC","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","7.334","7.334","7.334","7.334","7.334","7.334","7.334","29.336","33.003","44.004","47.671","55.005","58.672","80.674","84.341","77.007","121.011","95.342","99.009","84.341","99.009","99.009","150.347","165.015","201.685","198.018","234.688","150","180","180","190","210","200","240","350","440","520","580","640","540","550","750","700","740","650","700","510","440","400","450","410","460","500","540","590","620","","",
"Syrian Arab Republic","SYR","CO2 emissions (kt)","EN.ATM.CO2E.KT","3223.293","3065.612","3204.958","3611.995","4367.397","3678.001","4917.447","4609.419","5962.542","7242.325","6659.272","8885.141","7766.706","7895.051","9666.212","11184.35","13758.584","14664.333","15221.717","22548.383","20802.891","26637.088","24488.226","27960.875","33091.008","29651.362","31352.85","36226.293","36945.025","34565.142","29570","32110","31400","30760","31880","33690","36810","37150","40050","39280","39530","41300","41990","42280","44680","55600","58830","62120","64060","59160","59700","55920","45990","30530","27070","26040","26460","29100","27910","","",
"Turks and Caicos Islands","TCA","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chad","TCD","CO2 emissions (kt)","EN.ATM.CO2E.KT","55.005","51.338","84.341","91.675","99.009","106.343","84.341","117.344","124.678","161.348","124.678","150.347","121.011","161.348","150.347","183.35","183.35","198.018","194.351","201.685","209.019","209.019","205.352","205.352","216.353","179.683","187.017","198.018","66.006","102.676","390","400","410","410","420","440","450","460","470","490","510","520","530","760","770","800","820","880","950","970","1030","820","890","920","940","970","1020","1020","1070","","",
"East Asia & Pacific (IDA & IBRD countries)","TEA","CO2 emissions (kt)","EN.ATM.CO2E.KT","828649.510298786","606128.696018904","496309.270846128","494042.717024316","500163.879368336","543027.839114471","594700.768000768","512156.106299365","560095.675241996","675037.686395603","901269.030408229","1014388.36976223","1075354.35768315","1127085.96413241","1143856.74509743","1309547.51352063","1371951.1017342","1513048.63657958","1681581.59945891","1723415.03450547","1700211.72570038","1689484.73372079","1823984.71008027","1924033.62228375","2073412.0282026","2241944.99108193","2353410.35662985","2509422.99451146","2692460.31748627","2744393.62805823","2548192.68320844","2708400.51521563","2851545.38296984","3116695.18196285","3274301.00651327","3661945.33246809","3692926.47742095","3803720.57197642","3895693.97098595","3845192.10461668","4058990.00582629","4281208.21822063","4600010","5258850","6023610","6750030","7388280","7997390","8230190","8757280","9593300","10468910","10755870","11174430","11203670","11203310","11224570","11485600","11889820","","",
"Europe & Central Asia (IDA & IBRD countries)","TEC","CO2 emissions (kt)","EN.ATM.CO2E.KT","2635925.75927266","2726307.83536182","2878623.0950173","3087259.39803771","3288869.43462021","3476587.76052635","3664477.9998181","3837644.68947083","3975641.22778245","4168905.14677297","4372533.77923818","4626732.67503982","4874138.2193131","5083500.99502756","5272555.80886703","5564470.28323552","5806568.69492705","6020201.57731648","6233729.0934373","6290405.05475963","6518955.58254603","6352914.98000672","6491133.34204171","6580445.11866559","6632728.97026509","7102307.61027774","7159959.59598291","7189079.50526898","7304433.38701709","7161612.18272206","4395566.83375891","4269402.96489363","3956549.44929808","3628158.51142849","3252273.18211731","3166366.27315692","3094914.1789831","2941093.69847","2892376.3615333","2867386.17203059","2914549.76673988","2904505.57505047","2929084.77467367","3035090.0911563","3057774.72767642","3059729.43563993","3201678.07350311","3248439.98186905","3303436.3136876","3042599.43064726","3210142.90053165","3371465.47386607","3353744.43361343","3288680.46728164","3187913.96422831","3113343.34600293","3153613.88405586","3223185.74643835","3278021.79750843","","",
"Togo","TGO","CO2 emissions (kt)","EN.ATM.CO2E.KT","66.006","91.675","88.008","106.343","132.012","132.012","179.683","198.018","194.351","242.022","275.025","315.362","399.703","403.37","377.701","311.695","322.696","462.042","355.699","1382.459","718.732","627.057","733.4","546.383","608.722","550.05","707.731","766.403","792.072","836.076","970","920","750","630","910","980","1360","760","1200","1710","1270","1180","1340","1830","1780","1750","1570","1500","1570","2820","2630","2510","2230","1750","1590","1820","2300","2070","2260","","",
"Thailand","THA","CO2 emissions (kt)","EN.ATM.CO2E.KT","3714.671","4147.377","5034.791","5570.173","7480.68","7451.344","9479.195","12167.106","17099.221","14561.657","15375.731","19248.083","21836.985","24455.223","24246.204","24407.552","28778.616","32159.59","35067.521","36736.006","40135.315","38048.792","37909.446","42452.859","45973.179","48672.091","49702.518","56944.843","67003.424","78891.838","88560","97670","107440","122060","136220","154760","173590","176750","155690","162500","163140","171830","182810","190850","208810","216110","218090","224150","228310","221300","235520","234620","252070","262460","258660","263080","260720","260660","257860","","",
"Tajikistan","TJK","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11020","10170","7670","5160","3030","2510","2240","2510","2760","2540","2200","2150","2130","2170","2580","2450","2670","3250","3030","2390","2420","2540","2990","3160","4470","4760","5960","6370","7330","","",
"Turkmenistan","TKM","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44650","37790","28100","26630","32870","33430","29690","29940","30590","35770","36850","38090","39910","44410","46820","48360","49730","56200","56850","50380","57360","63410","66300","67780","69490","72080","72020","71960","71730","","",
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","CO2 emissions (kt)","EN.ATM.CO2E.KT","272601.113","280400.822","295981.905","297430.37","321493.224","332952.599","350821.89","376630.236","402717.274","435848.619","480670.36","502936.384","528114.006","576038.029","611178.89","618010.511","650683.481","676550.499","733675.025","786828.19","827968.263","823083.819","844455.095","812640.203","816695.905","841580.167","874033.117","918909.863","939771.426","996606.259","846730","878870","903410","935790","982960","1004850","1084190","1149940","1194120","1182180","1221880","1225590","1233220","1248350","1303810","1357090","1392010","1450240","1507960","1468940","1553310","1615470","1671480","1717780","1730430","1722720","1687450","1656490","1633250","","",
"Timor-Leste","TLS","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","170","170","200","210","200","200","210","230","240","250","300","460","530","610","690","600","640","","",
"Middle East & North Africa (IDA & IBRD countries)","TMN","CO2 emissions (kt)","EN.ATM.CO2E.KT","80582.325","82001.454","83911.961","93097.796","104714.852","123702.578","148212.806","151252.749","184871.805","195524.44","208388.276","222623.57","233404.55","269183.469","278457.312","284790.221","338189.075","351470.949","374166.012","390260.475","363814.071","337455.675","360972.146","403248.989","435588.262","453156.859","463923.171","493420.519","530237.199","545898.956","522460","549730","589800","620440","664530","687940","707750","750290","730960","758190","786590","824990","851120","877010","933010","1018330","1072240","1121860","1164890","1224500","1244380","1253100","1314940","1341330","1389430","1376200","1389170","1426500","1461080","","",
"Tonga","TON","CO2 emissions (kt)","EN.ATM.CO2E.KT","11.001","11.001","11.001","11.001","11.001","11.001","11.001","14.668","14.668","11.001","25.669","18.335","22.002","25.669","22.002","33.003","29.336","29.336","36.67","40.337","40.337","47.671","44.004","47.671","47.671","47.671","47.671","55.005","69.673","69.673","80","90","80","90","90","100","80","90","100","110","100","100","100","120","130","130","150","130","130","140","120","110","110","120","110","110","150","180","190","","",
"South Asia (IDA & IBRD)","TSA","CO2 emissions (kt)","EN.ATM.CO2E.KT","151649.509547476","162628.82549237","179024.45728583","194459.307256458","191987.677681689","209773.142722683","216370.266765723","219835.682119072","241537.616575278","244379.623875643","249322.883025181","257320.724","245637.662","254691.485","263356.606","285677.635","297283.69","314921.96","321225.533","338423.763","359501.679","387715.577","402746.61","435192.226","447627.023","492357.089","526174.163","562132.765","606881.166","660778.732","643080","686710","717340","747010","786940","849830","891420","942110","961900","1037180","1075940","1095440","1133540","1167850","1254230","1312050","1400870","1540250","1629080","1781870","1884320","1991420","2145490","2203550","2389180","2422620","2479230","2622720","2770040","","",
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","CO2 emissions (kt)","EN.ATM.CO2E.KT","126346.100025262","132149.956651952","136784.517570261","143401.345600062","157405.736883927","174713.728237579","178268.580772068","185337.253964993","189410.600205982","205614.461076729","226723.496221194","260959.001532362","275137.379794266","292361.906268386","310313.756835717","301313.587415611","316945.460618954","319571.287088806","324942.295777142","366459.446964545","379275.270473656","404962.865499049","427334.608632823","434152.805773293","465849.216768761","477631.867078796","483689.171321752","476210.787696675","506944.892968815","482488.154101166","399239.201788188","403506.267133526","411288.744043898","421021.477167553","424201.778966258","444091.285453394","462537.035885881","477539.983418817","482608.273904372","469563.98843159","477085.654590431","526193.552840904","541862.84932214","570768.2590037","606629.947857664","622854.53512915","628568.982170632","652133.504069605","689721.642471437","659705.651209378","708066.43094206","713356.837743714","739647.332613006","771046.219406582","798787.276962011","777968.88796473","785929.452973371","801739.739680406","823424.721830527","","",
"Trinidad and Tobago","TTO","CO2 emissions (kt)","EN.ATM.CO2E.KT","2581.568","4602.085","7238.658","1309.119","3795.345","5196.139","4055.702","4638.755","4041.034","3905.355","8998.818","8104.07","8243.416","9398.521","10051.247","9622.208","15925.781","16175.137","15328.06","16725.187","16937.873","17260.569","18426.675","16303.482","17535.594","20755.22","17385.247","17520.926","15867.109","16142.134","14110","13000","11930","12470","13020","13160","13300","13770","14100","14210","14360","15430","16020","15320","15970","19670","22220","22070","21140","20190","22620","23190","22120","22730","21920","21260","18230","18190","17760","","",
"Tunisia","TUN","CO2 emissions (kt)","EN.ATM.CO2E.KT","1727.157","1767.494","1796.83","1947.177","2757.584","2464.224","2885.929","3087.614","3597.327","3857.684","3744.007","4213.383","4737.764","4829.439","5397.824","5548.171","5848.865","6758.281","7491.681","8771.464","9493.863","9834.894","9526.866","11305.361","11547.383","11939.752","12064.43","11749.068","12464.133","13234.203","13750","14420","15180","16520","16650","17040","17600","18180","18920","19840","20930","21650","21730","21870","22830","23140","24070","24520","24790","25090","27440","25720","26680","26770","28830","29670","28990","29890","29980","","",
"Turkey","TUR","CO2 emissions (kt)","EN.ATM.CO2E.KT","16820.529","17363.245","21631.633","22669.394","26336.394","27388.823","31547.201","33523.714","36314.301","38807.861","42639.876","47733.339","53857.229","59486.074","61136.224","65697.972","73721.368","81572.415","77256.356","75576.87","75763.887","79874.594","86988.574","90541.897","95796.708","106717.034","116881.958","129907.142","126309.815","139316.664","139220","143820","149830","155630","153930","168260","185450","193590","193850","192870","216620","197780","208120","219160","224600","235010","261090","288970","287200","287830","297120","317720","328880","318170","340640","351590","374590","415900","412970","","",
"Tuvalu","TUV","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","","",
"Tanzania","TZA","CO2 emissions (kt)","EN.ATM.CO2E.KT","828.742","704.064","766.403","803.073","1034.094","1162.439","1371.458","1760.16","1653.817","1796.83","1767.494","2464.224","2167.197","3186.623","2306.543","2284.541","2790.587","2013.183","2203.867","2071.855","1884.838","2123.193","2167.197","2218.535","2368.882","2357.881","2299.209","2390.884","2288.208","2207.534","1890","1860","1860","1910","1910","2730","3070","2890","2690","2520","2950","3130","3570","3760","5100","5680","6060","5910","6100","5930","6910","8160","9870","10810","10720","11690","10920","11360","11580","","",
"Uganda","UGA","CO2 emissions (kt)","EN.ATM.CO2E.KT","421.705","407.037","429.039","432.706","491.378","627.057","733.4","810.407","982.756","1177.107","1444.798","1441.131","1382.459","1180.774","1195.442","1133.103","990.09","806.74","700.397","674.728","627.057","528.048","546.383","616.056","583.053","619.723","704.064","770.07","865.412","803.073","790","810","820","820","730","960","1070","1130","1290","1320","1330","1350","1540","1620","1770","2230","2600","2940","3180","3410","3850","4160","3910","4270","4740","4860","5670","5840","6130","","",
"Ukraine","UKR","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","688620","651930","574640","499320","415670","399250","346110","328250","309290","305730","297380","300550","303940","330230","307140","295410","303990","312140","301330","252290","269460","283520","277290","268600","237610","190870","201250","174840","185370","","",
"Upper middle income","UMC","CO2 emissions (kt)","EN.ATM.CO2E.KT","2924452.73988829","2745886.27042933","2740296.82846563","2882742.54181429","3054869.00205422","3257761.69501604","3479861.0066676","3536391.32658591","3710356.63222549","3996775.02966216","4396946.67170053","4748640.03050451","5000359.11954129","5246625.28529213","5424915.31440608","5821524.45911329","6106231.99487073","6397715.6777171","6774474.31621818","6930929.1935351","7080956.24931578","7020384.05582208","7304014.21254446","7464968.96996646","7685617.00640619","8221718.38407381","8417768.96607775","8637817.55854309","8983664.32939162","9039307.31128507","6587669.65462855","6651122.43494991","6600999.18257894","6652312.60263483","6584788.62476098","6900174.03297497","6952508.11778235","6987120.66067886","7068713.80169596","6945543.58183093","7270665.33125287","7504007.30517704","7834672.66511204","8566119.05080333","9424418.0546788","10210299.8937835","10977998.7612252","11649193.7741631","12027545.7096412","12301660.276254","13327776.5770184","14312654.1375522","14694967.8734018","15132986.9235657","15092758.6425208","14971353.4720457","14944211.1376824","15220176.5453778","15569855.4508945","","",
"Uruguay","URY","CO2 emissions (kt)","EN.ATM.CO2E.KT","4319.726","4121.708","4011.698","4319.726","4558.081","5522.502","5405.158","4884.444","4884.444","5595.842","5742.522","5808.528","6076.219","5775.525","5683.85","5969.876","5896.536","5650.847","5742.522","6277.904","5837.864","5375.822","4873.443","3817.347","3450.647","3296.633","3179.289","3560.657","4807.437","4880.777","3850","4370","4770","4490","4270","4690","5450","5560","5780","6780","5460","4950","4530","4490","5460","5410","6330","5850","7750","7670","6280","7610","8520","7360","6500","6590","6530","6080","6520","","",
"United States","USA","CO2 emissions (kt)","EN.ATM.CO2E.KT","2890696.1","2880505.507","2987207.873","3119230.874","3255995.306","3390922.571","3561878.111","3695708.943","3831354.94","4024748.853","4328904.501","4356770.034","4564952.958","4770194.948","4598487.673","4406329.539","4613100.668","4742292.745","4890861.25","4901796.244","4723209.677","4535800.308","4306748.487","4341878.347","4475192.132","4492555.377","4495463.308","4688373.177","4892526.068","4955081.421","4844990","4808090","4880200","5000350","5073230","5126900","5283110","5547990","5590700","5610300","5776410","5749250","5594160","5659630","5740030","5756080","5656580","5740270","5563340","5159550","5392870","5172100","4950210","5089500","5102580","4982790","4888640","4813720","4981300","","",
"Uzbekistan","UZB","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117770","118590","113070","113740","107170","96130","97100","98450","113730","114940","121690","122740","125390","118310","121430","114810","121930","118350","124200","114360","122560","125040","111290","113130","105410","101530","107350","111380","112090","","",
"St. Vincent and the Grenadines","VCT","CO2 emissions (kt)","EN.ATM.CO2E.KT","11.001","11.001","11.001","14.668","18.335","14.668","18.335","18.335","22.002","29.336","29.336","29.336","36.67","40.337","33.003","33.003","33.003","33.003","36.67","29.336","36.67","36.67","40.337","47.671","66.006","66.006","66.006","77.007","66.006","77.007","80","90","120","120","140","150","150","160","190","190","160","210","230","230","250","250","250","300","220","990","250","230","400","220","290","220","270","270","280","","",
"Venezuela, RB","VEN","CO2 emissions (kt)","EN.ATM.CO2E.KT","57069.521","51928.387","54106.585","56204.109","56603.812","60787.859","57029.184","65815.316","65635.633","68998.272","74561.111","62562.687","62577.355","66501.045","75133.163","63816.801","57344.546","63732.46","68690.244","76570.627","90802.254","91968.36","93405.824","93101.463","93218.807","101278.873","109529.623","110981.755","116097.22","108854.895","103120","102390","104750","110140","110330","116940","130630","135930","132520","127480","134390","137290","145580","138100","142740","157570","149890","152780","163490","163930","171400","170180","183930","187680","188350","173880","162060","148740","138160","","",
"British Virgin Islands","VGB","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","3.667","3.667","7.334","7.334","11.001","3.667","14.668","18.335","18.335","22.002","22.002","25.669","25.669","25.669","25.669","29.336","29.336","29.336","29.336","44.004","36.67","40.337","40.337","47.671","55.005","62.339","66.006","66.006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Vietnam","VNM","CO2 emissions (kt)","EN.ATM.CO2E.KT","5944.207","6164.227","7550.353","7036.973","7719.035","8250.75","8782.465","7832.712","8393.763","8511.107","28199.23","24528.563","23058.096","25096.948","19083.068","21800.315","13923.599","15276.722","15419.735","16281.48","16820.529","17726.278","18382.671","19317.756","17550.262","21165.924","23091.099","25969.694","23182.774","17509.925","18410","18310","19310","24250","26750","30320","34170","40140","44870","45170","50310","55920","66280","70460","84460","92040","95760","105380","117620","131720","149440","149020","147270","153630","168560","209200","223870","222130","257860","","",
"Vanuatu","VUT","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","40.337","33.003","62.339","47.671","77.007","84.341","62.339","44.004","40.337","58.672","62.339","55.005","62.339","55.005","44.004","51.338","58.672","62.339","62.339","51.338","51.338","55.005","55.005","121.011","58.672","47.671","66.006","62.339","70","70","60","60","60","70","90","90","80","90","90","90","80","90","70","70","70","110","100","130","130","130","120","110","160","140","180","170","180","","",
"World","WLD","CO2 emissions (kt)","EN.ATM.CO2E.KT","9463838.49990167","9423934.42368303","9732505.89022485","10274503.991073","10820253.0073072","11402575.2016796","11988321.4161014","12413351.889943","13087346.5712946","13976005.5631722","15272289.2383035","15913710.7777326","16680140.7889655","17582029.2044394","17563629.9320008","17641960.0906793","18580873.0444116","19183226.4214156","19921141.7148437","20459807.5986511","20396427.1153306","19879068.5697331","19815965.2481063","20034812.1214878","20636636.7592607","21429383.1637637","21729229.4761357","22365639.629262","23289432.346594","23699896.0229529","20607832.0596807","20799343.2787013","20741660.8600961","20874105.0265849","20983787.4114182","21582843.0324084","22039447.4140838","22394054.6806342","22509779.8369003","22615862.9199573","23311805.661438","23707262.4684296","24054448.0761061","25143943.8476202","26319528.2174325","27325257.1771294","28223539.0535022","29312213.4995752","29574920.7763931","29253757.5061305","31031799.0424309","32004027.8518917","32444191.5472416","33053846.5169509","33085191.9751693","32943427.7812085","32940650.0788955","33351608.0948268","34041045.9740377","","",
"Samoa","WSM","CO2 emissions (kt)","EN.ATM.CO2E.KT","14.668","18.335","18.335","22.002","25.669","29.336","25.669","25.669","29.336","29.336","29.336","36.67","36.67","36.67","33.003","58.672","47.671","80.674","106.343","95.342","99.009","102.676","113.677","113.677","113.677","113.677","113.677","113.677","113.677","121.011","110","110","120","120","120","120","130","130","140","140","150","150","160","160","170","190","190","190","190","190","190","200","200","200","210","240","300","300","320","","",
"Kosovo","XKX","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Yemen, Rep.","YEM","CO2 emissions (kt)","EN.ATM.CO2E.KT","58.672","73.34","69.673","80.674","99.009","102.676","99.009","102.676","128.345","135.679","168.682","216.353","253.023","326.363","370.367","605.055","729.733","865.412","949.753","1045.095","1195.442","1360.457","1958.178","2489.893","2948.268","3157.287","3153.62","3355.305","3406.643","3498.318","6640","8500","9130","8120","8480","9870","10080","10850","11730","13170","13890","15080","15140","17400","18400","19380","19410","20630","22010","25650","23990","20690","19680","26350","26710","14210","10880","10060","9310","","",
"South Africa","ZAF","CO2 emissions (kt)","EN.ATM.CO2E.KT","97934.569","102213.958","105767.281","109826.65","119657.877","128260.659","128356.001","133885.837","138084.552","143280.691","149763.947","168568.323","171725.61","173533.441","176734.732","185201.835","193115.221","199950.509","202099.371","218908.899","228454.1","257368.395","280749.187","292230.564","315948.72","324214.138","330855.075","329025.242","343055.184","341108.007","247660","242330","238820","246430","252010","264190","273980","288920","296510","278470","284730","320600","331420","353110","379970","377640","379560","396900","426560","404020","425110","409120","426710","436870","447980","424880","425180","435140","433250","","",
"Zambia","ZMB","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","3278.298","3916.356","3501.985","4792.769","4572.749","4275.722","3769.676","3791.678","4066.703","4591.084","4202.382","4081.371","4026.366","3744.007","3476.316","3604.661","3531.321","3366.306","3520.32","3270.964","2819.923","2753.917","2889.596","2702.579","3142.619","2603.57","2740","2880","2850","2520","2140","2130","1760","2280","2170","1760","1810","1830","1920","2090","2110","2290","2180","1980","2180","2470","2640","3060","4020","4240","4800","5070","5590","6990","7740","","",
"Zimbabwe","ZWE","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","4473.74","5214.474","6046.883","5298.815","6384.247","6750.947","8162.742","8742.128","8225.081","9281.177","9057.49","8320.423","10868.988","9299.512","9295.845","9449.859","9636.876","9435.191","8811.801","10461.951","9922.902","10263.933","13127.86","15240.052","16101.797","16186.138","16530","18300","18470","17080","15960","15480","14860","13830","14070","15820","13700","13900","12490","10180","9770","10510","9830","9760","7600","7750","9810","11490","12110","12360","12150","12400","10990","10230","12270","","",
